Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault
"         Alameda County Sheriff Department California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Aliso Viejo California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Azusa Police Dept California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Camarillo California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Colton Police Dept California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Concord Police Dept California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Culver City Police Dept California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Daly City Police Dept California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Dana Point California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Dublin California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Encinitas California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Fillmore California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Imperial Police Dept California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Kerman Police Dept California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Kern County Sheriff Department California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Laguna Hills California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Laguena Niguel California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Lake Forest California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Lemon Grove California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Mission Viejo California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Moorpark California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Mountain View Police Dept California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Oceanside California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Orange County Sheriff Department California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Pinole Police Dept California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Pleasant Hill Police Dept California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Poway California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Rancho Santa Margari California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Reedley Police Dept California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Riverside Police Dept California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Rohnert Park Dept Of Public Safety California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Roseville Police Dept California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Sacramento County Sheriff Department California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         San Clemente California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         San Diego County Sheriff Department California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         San Joaquin County Sheriff Department California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         San Juan Capistrano California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         San Leandro Police Dept California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         San Luis Obispo Police Dept California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         San Pablo Police Dept California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         San Ramon California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Santa Clara Police Dept California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Santee California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Seal Beach Police Beach California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Shasta County Sheriff Department California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Solana Beach California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Suisun City Police Dept California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Thousand Oaks California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Tulare County Sheriff Department California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation. The Tulare County Highway Patrol collects the motor vehicle thefts for this county.  These data can be found in Table 11.",,,,,,,,,
,,,,,,,,,
"         Tulare Police Dept California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Twenty-Nine Palms California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Ventura County Sheriff Department California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
"         Yorba Linda California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Sources: FBI, Uniform Crime Reports, prepared by the National Archive of Criminal Justice Data ",,,,,,,,,
Date of download: Nov 30 2018 ,,,,,,,,,